PPT CODE,WEBSTAURANT CODE,WEBSTAURANT DESCRIPTION,COUNT,URL
012HD,433XHWB12BG,,500,
01SO,433B1BG,,500,
025FD,79525RC 1M,,1000,
02SO,433B2BG,,500,
03SO,433B3BG,,500,
03W,433W3BG,,500,
04SO,433B4BG,,500,
04W,433W4BG,,500,
050FD,79550RC 1M,,1000,
05SO,433B5BG,,500,
05W,433W5BG,,500,
06SO,433B6BG,,500,
06W,433W6BG,,500,
08SO,433B8BG,,500,
08W,433W8BG,,500,
1/2F,1500164,,500,
1/6,4331676,,500,
1/6BAG,433NHT101HD,,1000,
1/8,4331852,,500,
½#GLASS,1500100,,1000,
100PB,76045,,5000,
100PC,301100PC,,2500,
10102CB,****,,250,https://www.webstaurantstore.com/southern-champion-0969-10-x-10-x-2-1-2-white-cake-bakery-box-bundle/24510102CB.html
10102CLAY,245I10101PB,,100,
10102SPB,245CB10 WHITE,,50,
10105CB,****,,100,https://www.webstaurantstore.com/southern-champion-0977-10-x-10-x-5-1-2-white-cake-bakery-box-bundle/24510105CB.html
101F,130SERVFK8CL,,72,
102,966TALLFLDB,,8000,
102S,130SERVSP8CL,,72,
10824,pb100824m,,500,
10824HEAVY,13020G108024500,,500,
10CATC,24510BKCC,,200,
10CPWF,30110CPWF,,500,
10FTL,30110FTL,,1000,
10HOT,50010CAFE,,1000,
10IC,130IC10PCL 1M,,1000,
10PG,347TCL10,,500,
10PWCR,30110PWCR,,500,
10PWF,30110PWF,,500,
10SK,48510WDSKEW,,1000,
10SO,433B10BG,,500,
10STR,485WJ10WH,,2000,
10VOTIVE,53610FW,,288,
10W,433W10BG,,500,
10WTC,****,,100,https://www.webstaurantstore.com/10-corrugated-white-cake-pizza-circle-case/24510CCC.html
112,A7LBCL,,50,
118,485WJF7WH,,10000,
11PRWF,30111PRWF,,500,
12122CLAY,245I12122PB,,100,
12125CB,****,,100,https://www.webstaurantstore.com/southern-champion-0987-12-x-12-x-5-white-cake-bakery-box-bundle/24512125CB.html
1212SSPB,5291952919,,50,
1215DW,150DW1215HD,,50,
1215WET,150WW1215,,50,
1217M,12212X1ST,,1,
1220PR,130PB1220,,4000,
12320,12320,,25,
12830M,13012830H,,500,
12BWWCR,30112BWWCR,,1000,
12BWWF,30112BWWF,,1000,
12COLD,760RP12NPJAZ,,2000,
12FILM,30550200,,1,
12FL,61212FT25,,25,
12GOLD,24512GCC,,100,
12HDLC,30112HDLC,,1000,
12J12,30112J12,,1000,
12J16,30112J16,,1000,
12JL,30112JL,,1000,
12LX16H,30112LX16H,,1000,
12SJ20,30112SJ20,,500,
12SO,433B12BG,,500,
12W,433W12BG,,500,
12WTC,****,,250,https://www.webstaurantstore.com/12-corrugated-white-cake-pizza-circle-case/24512CCC.html
12X16G,30112X16G,,1000,
14142CLAY,245I14142PB,,100,
14142SPB,245CPB14WHT PRINT,,50,
14145CB,****,,50,https://www.webstaurantstore.com/southern-champion-0991-14-x-14-x-5-white-cake-bakery-box-bundle/24514145CB.html
14GOLD,24514GCC,,100,
14J16,30114J16,,1000,
15-160,105RR22550,,50,
15DEL,433WW15,,1,
15FREEZER,43315FL,,1,
15MF,43315TAR,,1,
15RP,43315PEA,,1,
160B,****,,4000,https://www.webstaurantstore.com/choice-1-ply-white-beverage-cocktail-napkin-case/5001BNAP.html
16162CPB,245CPB16WHT PRINT,,50,
16165CB,24516165CB,,50,
16COLD,760RP16PJAZZ,,1000,
16EL,****,,1000,https://www.webstaurantstore.com/dart-16el-white-travel-lid-case/30116EL.html
16FL,61216FT25,,25,
16FTLS,30116FTLS,,1000,
16HOT,50016CAFE,,1000,
16J16,30116J16,,1000,
16LX16H,30116LX16H,,1000,
16MJ20,30116MJ20,,500,
16RCL,****,,1000,https://www.webstaurantstore.com/dart-16rcl-white-travel-lid-with-reclosable-tab-case/30116RCL.html
16RCLBLK,99916RCLBLK,,1000,
16SL,30116SL,,1000,
16SO,433B16BG,,500,
16W,433W16BG,,500,
16X16G,30116X16G,,1000,
16XHDW,433NHT108,,500,
18182SPB,245CPB18WHT PRINT,,50,
1851,12218X5HD,,1,
1851M,12218X5ST,,1,
18FILM,30550400,,1,
18FL,61218FT25,,25,
18FR,43318FL,,1,
18WTC,****,,125,https://www.webstaurantstore.com/18-corrugated-white-cake-pizza-circle-case/24518CCC.html
18X2000,284070001714430,,1,
191,105RRZT2085,,50,
1FD,795100RC 1M,,1000,
1PG,347RSG1,,2500,
200PB,374F200,,5000,
200PC,301200PC,,2500,
200PCBLK,301200PCBLK,,2500,
200PCL,301PL200N,,2500,
205HT1,301205HT1,,200,
206HT1,301206HT1R,,150,
20HDLC,30120HDLC,,1000,
20J16,30120J16,,500,
20JL,30120JL,,500,
20LX16H,30120LX16H,,500,
20RL,30120RL,,500,
20SO,433B20BG,,500,
20SOQ,433B20SHBG,,500,
20W,433W20BG,,500,
20X16G,30120X16G,,500,
21215,12212102,,200,
221658,10028407095341,,100,
221658H,501221658XH,,100,
2440,328PAC5824,,1,
24FILM,30550000,,1,
24J16,41594244173,,500,
24MJ48,30124MJ48,,500,
24SL05,30124SL05,,500,
25SO,433B25BG,,500,
266,37426600,,200,
2FD,795200RC 1M,,1000,
2PLYNAP,****,,3000,https://www.webstaurantstore.com/15-x-17-2-ply-white-dinner-napkin-case/5002DNAP.html
2SWHITE,3742SWHITE,,500,
316BISTRO,760316SI,,1000,
325PC,****,,2500,https://www.webstaurantstore.com/dart-conex-complements-325pc-3-25-oz-translucent-plastic-souffle-portion-cup-case/301325PC.html
325PCBLK,301325PCBLK,,2500,
32AC,30132AC,,300,
32COLD,760RP32NPSYM,,480,
32M,271369832,,1,
32SL,30132SL,,500,
32TJ32,30132TJ32,,500,
3390B,130TONG9HDBK,,24,
35BWWC,30135BWWC,,1000,
374SBIS,374SI-0041,,1000,
378BISTRO,760378SI,,1000,
3FD,795300RC 500,,500,
400PC,****,,2500,https://www.webstaurantstore.com/dart-conex-complements-400pc-4-oz-translucent-plastic-souffle-portion-cup-case/301400PC.html
400PCBLK,301400PCBLK,,2500,
40100B,561L850CB,,1,
40100R,561L850RED,,1,
4043,125028,,500,
412BISTRO,760412SI,,1000,
420BISTRO,760420SI,,600,
4212,130040212,,1000,
428,130040208,,1000,
4413,760L16BL,,2000,
44MM,105RR01658,,100,
44TJ32,30144TJ32,,300,
4829,****,,4000,https://www.webstaurantstore.com/lavex-janitorial-white-m-fold-multifold-towel-case/500MFT.html
4866,5001RT800B,,6,
4931,500L1020WHT,,1000,
4J4,3014J4,,1000,
4J6,3014J6,,1000,
4JL,3014JL,,1000,
50HT1,30150HT1,,500,
51320,70751320,,25,
5318MG,245300164,,1000,
54108BLK,286TC54108BK,,24,
54108HG,286TC54108HG,,12,
54108R,286TC54108RD,,24,
550PC,****,,2500,https://www.webstaurantstore.com/dart-conex-complements-550pc-5-5-oz-translucent-plastic-souffle-portion-cup-case/301550PC.html
550PCBLK,301550PCBLK,,2500,
5577,79507091,,1000,
570,612527BP,,500,
580,61255830,,500,
590,612509BP,,500,
5BWWC,3015BWWC,,1000,
5BWWF,3015BWWF,,1000,
5FD,795500RC 500,,500,
5LINEN,477103105,,1000,
60HT1,30160HT1,,500,
610155,610155,,600,
610TS,760610TS,,1000,
620155,620155,,600,
626TS,760626TS,,1000,
630155,630155,,600,
6315,762935010058,,1000,
642CB,245653cb,,250,
662TS,760662TS,,1000,
6J6,3016J6,,1000,
6JL,3016JL,,1000,
6LD,477102106,,1000,
6LINEN,477103106,,1000,
6PLATE,433602,,1000,
6PWCR,3016PWCR,,1000,
6PWF,3016PWF,,1000,
6SJ12,3016SJ12,,1000,
712DM,625A12PETDM,,25,
716DM,625a16petdm,,25,
718DM,625A18PETDM,,25,
72HT1,30172HT1,,500,
7534,612W65,,1000,
773CB,245773CB,,250,
7PWCR,3017PWCR,,1000,
7PWF,3017PWF,,1000,
80HT3,30180HT3R,,200,
811002,612W45,,2000,
8418,PB080418R,,1000,
85HT1R,30185HT1R,,200,
85HT3,30185HT3R,,200,
883CB,245883cb,,250,
884CB,245884cb,,250,
885CB,245885cb,,100,
8FTL,3018FTL,,1000,
8HOT,5008CAFE,,1000,
8J8,3018J8,,1000,
8SJ20,3018SJ20,,1000,
8STR,485WJ7TN,,12000,
9019,61240010,,50,
90HTPF1R,30190HTPF1R,,200,
90HTPF3R,30190HTPF3R,,200,
919KC37,105GCKDUP1CL,,100,
